factor,beta_mean,t_stat,T,sig
TC_n12,-1.5067634283924921e-05,-0.29556475327754816,8627,
PWMA_10,-0.0002428359740167065,-2.8119145899646867,8627,**
CFO_14,0.00010675892243824739,1.2094906445683222,8627,
